Date,Day of Week
2/11/21,Thursday
2/12/21,Friday
2/13/21,Saturday
2/14/21,Sunday
2/15/21,Monday
2/16/21,Tuesday
2/17/21,Wednesday
2/18/21,Thursday
2/19/21,Friday
2/20/21,Saturday
2/21/21,Sunday
2/22/21,Monday
2/23/21,Tuesday
2/24/21,Wednesday
2/25/21,Thursday
2/26/21,Friday
2/27/21,Saturday
2/28/21,Sunday
3/1/21,Monday
3/2/21,Tuesday
3/3/21,Wednesday
3/4/21,Thursday
3/5/21,Friday
3/6/21,Saturday
3/7/21,Sunday
3/8/21,Monday
3/9/21,Tuesday
3/10/21,Wednesday
3/11/21,Thursday
3/12/21,Friday
3/13/21,Saturday
3/14/21,Sunday
3/15/21,Monday
3/16/21,Tuesday
3/17/21,Wednesday
3/18/21,Thursday
3/19/21,Friday
3/20/21,Saturday
3/21/21,Sunday
3/22/21,Monday
3/23/21,Tuesday
3/24/21,Wednesday
3/25/21,Thursday
3/26/21,Friday
3/27/21,Saturday
3/28/21,Sunday
3/29/21,Monday
3/30/21,Tuesday
3/31/21,Wednesday
4/1/21,Thursday
4/2/21,Friday
4/3/21,Saturday
4/4/21,Sunday
4/5/21,Monday
4/6/21,Tuesday
4/7/21,Wednesday
4/8/21,Thursday
4/9/21,Friday
4/10/21,Saturday
4/11/21,Sunday
4/12/21,Monday
4/13/21,Tuesday
4/14/21,Wednesday
4/15/21,Thursday
4/16/21,Friday
4/17/21,Saturday
4/18/21,Sunday
4/19/21,Monday
4/20/21,Tuesday
4/21/21,Wednesday
4/22/21,Thursday
4/23/21,Friday
4/24/21,Saturday
4/25/21,Sunday
4/26/21,Monday
4/27/21,Tuesday
4/28/21,Wednesday
4/29/21,Thursday
4/30/21,Friday
5/1/21,Saturday
5/2/21,Sunday
5/3/21,Monday
5/4/21,Tuesday
5/5/21,Wednesday
5/6/21,Thursday
5/7/21,Friday
5/8/21,Saturday
5/9/21,Sunday
5/10/21,Monday
5/11/21,Tuesday
5/12/21,Wednesday
5/13/21,Thursday
5/14/21,Friday
5/15/21,Saturday
5/16/21,Sunday
5/17/21,Monday
5/18/21,Tuesday
5/19/21,Wednesday
5/20/21,Thursday
5/21/21,Friday
5/22/21,Saturday
5/23/21,Sunday
5/24/21,Monday
5/25/21,Tuesday
5/26/21,Wednesday
5/27/21,Thursday
5/28/21,Friday
5/29/21,Saturday
5/30/21,Sunday
5/31/21,Monday
6/1/21,Tuesday
6/2/21,Wednesday
6/3/21,Thursday
6/4/21,Friday
6/5/21,Saturday
6/6/21,Sunday
6/7/21,Monday
6/8/21,Tuesday
6/9/21,Wednesday
6/10/21,Thursday
6/11/21,Friday
6/12/21,Saturday
6/13/21,Sunday
6/14/21,Monday
6/15/21,Tuesday
6/16/21,Wednesday
6/17/21,Thursday
6/18/21,Friday
6/19/21,Saturday
6/20/21,Sunday
6/21/21,Monday
6/22/21,Tuesday
6/23/21,Wednesday
6/24/21,Thursday
6/25/21,Friday
6/26/21,Saturday
6/27/21,Sunday
6/28/21,Monday
6/29/21,Tuesday
6/30/21,Wednesday
7/1/21,Thursday
7/2/21,Friday
7/3/21,Saturday
7/4/21,Sunday
7/5/21,Monday
7/6/21,Tuesday
7/7/21,Wednesday
7/8/21,Thursday
7/9/21,Friday
7/10/21,Saturday
7/11/21,Sunday
7/12/21,Monday
7/13/21,Tuesday
7/14/21,Wednesday
7/15/21,Thursday
7/16/21,Friday
7/17/21,Saturday
7/18/21,Sunday
7/19/21,Monday
7/20/21,Tuesday
7/21/21,Wednesday
7/22/21,Thursday
