Date,Views,Average percentage viewed (%),Unique viewers,Subscribers,Watch time (hours),Average view duration,Shares,Likes,Dislikes,Comments added,Impressions,Impressions click-through rate (%)
2/11/21,354,18.49,280,2,18.96,0:03:12,1,4,0,0,2295,7.15
2/12/21,272,19.3,220,2,15.2881,0:03:22,1,3,0,0,2062,6.11
2/13/21,249,17.93,214,1,13.0429,0:03:08,0,2,0,0,1806,5.54
2/14/21,264,18.26,209,-1,13.9876,0:03:10,3,4,0,0,2128,6.63
2/15/21,378,19.68,300,2,21.638,0:03:26,1,3,0,1,2321,6.72
2/16/21,314,18.79,269,2,17.0367,0:03:15,1,4,0,0,2395,6.35
2/17/21,361,18.67,293,4,19.4318,0:03:13,1,8,0,0,2594,6.71
2/18/21,346,20.52,281,3,20.9314,0:03:37,3,11,0,0,2664,6.53
2/19/21,359,19.04,279,3,20.1113,0:03:21,1,2,0,0,2292,7.5
2/20/21,272,20.25,225,0,15.9686,0:03:31,3,8,1,2,2282,5.43
2/21/21,311,20.3,251,3,18.6988,0:03:36,2,5,0,0,2719,5.96
2/22/21,351,19.31,281,4,20.505,0:03:30,2,10,1,1,2812,6.12
2/23/21,379,21.04,310,2,22.82,0:03:36,4,5,0,2,2523,7.77
2/24/21,423,21.47,333,4,25.6972,0:03:38,6,10,2,0,2691,7.73
2/25/21,342,19.53,296,2,19.282,0:03:22,10,3,2,0,2757,6.46
2/26/21,308,21.15,245,3,19.2292,0:03:44,1,7,0,0,2389,6.53
2/27/21,301,20.89,243,0,19.1425,0:03:48,8,3,0,0,2219,7.35
2/28/21,332,15.42,261,1,14.9402,0:02:42,0,5,0,1,2533,6.2
3/1/21,399,20.37,322,4,22.9764,0:03:27,1,4,0,0,2701,7.07
3/2/21,408,19.61,341,6,24.7469,0:03:38,2,2,0,2,2633,7.18
3/3/21,381,17.36,311,1,19.5204,0:03:04,2,6,0,0,2705,6.73
3/4/21,384,20.47,300,6,23.2694,0:03:38,1,9,2,1,2725,6.2
3/5/21,337,19.31,264,3,18.0531,0:03:12,4,4,0,0,2574,7.11
3/6/21,305,18.36,250,2,17.237,0:03:23,0,5,0,0,2310,7.23
3/7/21,336,18.59,265,0,18.79,0:03:21,1,7,1,0,2636,6.68
3/8/21,369,16.64,302,1,17.628,0:02:51,1,4,0,0,2429,7.74
3/9/21,406,17.52,325,5,21.2236,0:03:08,2,4,0,0,2752,7.3
3/10/21,387,19.88,319,1,22.1984,0:03:26,1,9,0,1,2813,7.5
3/11/21,412,19.44,307,5,23.6677,0:03:26,1,8,1,0,3221,6.64
3/12/21,357,16.3,267,2,17.6889,0:02:58,2,0,1,0,2500,7.04
3/13/21,305,17.95,247,0,16.4588,0:03:14,0,1,1,0,2780,5.97
3/14/21,344,17.7,282,1,17.9555,0:03:07,0,3,0,0,2537,7.21
3/15/21,361,18.4,286,3,20.2785,0:03:22,1,5,0,1,2751,6.54
3/16/21,345,17.9,283,5,16.9877,0:02:57,0,6,0,0,2840,6.37
3/17/21,411,15.72,323,5,18.4987,0:02:42,2,8,0,0,2995,6.58
3/18/21,377,19.68,304,1,20.6038,0:03:16,4,3,0,1,3093,6.66
3/19/21,316,16.15,245,1,14.1151,0:02:40,2,2,0,0,2428,7.33
3/20/21,279,19.55,234,0,15.0562,0:03:14,3,2,1,0,2551,6.04
3/21/21,308,19.66,239,1,17.1069,0:03:19,0,1,0,0,2933,6
3/22/21,433,19.58,338,2,24.7483,0:03:25,32,5,0,0,3066,7.4
3/23/21,409,20.26,334,1,23.3079,0:03:25,4,4,0,1,2456,8.22
3/24/21,378,16.95,295,0,18.7895,0:02:58,1,3,0,1,2826,7.08
3/25/21,336,18.33,289,1,17.8596,0:03:11,3,4,0,0,2509,7.45
3/26/21,353,21.4,279,0,21.6572,0:03:40,0,7,1,0,2673,7
3/27/21,303,20.97,243,0,17.6373,0:03:29,3,6,0,0,2170,7.28
3/28/21,339,16.79,278,0,16.5142,0:02:55,3,4,0,0,2299,7.92
3/29/21,409,19.28,320,4,23.537,0:03:27,3,9,0,1,3072,6.58
3/30/21,389,17.69,322,3,19.221,0:02:57,0,6,0,1,2327,8.47
3/31/21,286,17.8,246,5,15.7287,0:03:17,0,4,0,0,2294,7.24
4/1/21,319,22.12,266,1,20.6591,0:03:53,2,5,0,0,2617,6.76
4/2/21,275,18.72,230,1,15.4214,0:03:21,0,1,0,1,1785,7.62
4/3/21,292,20.6,241,2,16.9793,0:03:29,4,5,0,0,1967,7.07
4/4/21,281,22.07,216,4,16.7179,0:03:34,2,6,0,0,2133,6.75
4/5/21,348,18.95,267,1,20.149,0:03:28,4,6,0,0,2456,6.8
4/6/21,369,20.31,301,0,21.2101,0:03:26,1,8,0,1,2998,6.14
4/7/21,361,17.12,289,1,17.2957,0:02:52,0,5,0,0,2745,7.25
4/8/21,350,20.45,286,0,20.5121,0:03:30,0,5,1,0,2319,7.89
4/9/21,262,15.74,224,-1,12.0735,0:02:45,0,3,0,2,2770,4.58
4/10/21,290,20.41,235,-1,16.5778,0:03:25,3,8,0,1,2070,7.44
4/11/21,331,19.06,274,1,19.2537,0:03:29,6,6,0,2,2675,6.28
4/12/21,353,18.62,289,-1,18.262,0:03:06,17,5,0,3,3263,5.82
4/13/21,325,18.82,272,1,18.7449,0:03:27,1,7,0,1,2485,6.64
4/14/21,359,18.81,300,1,20.0529,0:03:21,1,11,0,4,2456,7.49
4/15/21,366,20.28,305,1,20.7775,0:03:24,4,5,1,0,2244,8.11
4/16/21,323,18.9,260,2,16.7928,0:03:07,1,4,0,1,2246,6.63
4/17/21,268,22.56,210,2,17.6817,0:03:57,2,4,0,0,2603,5.57
4/18/21,323,16.79,254,1,15.5765,0:02:53,6,6,0,0,2074,8.82
4/19/21,391,17.47,295,2,20.6606,0:03:10,0,5,1,1,3352,6.53
4/20/21,346,19.94,283,3,19.7509,0:03:25,3,7,1,0,2520,6.9
4/21/21,327,19.22,265,2,17.2241,0:03:09,2,2,0,4,2646,6.16
4/22/21,359,18.08,284,0,19.3649,0:03:14,9,7,0,0,2635,6.68
