,date,tavg,tmin,tmax,prcp,wdir,wspd,pres
0,2021-02-21,29.84,18.14,39.92,0.0,304.0,16.9,1016.2
1,2021-02-22,39.02,28.22,57.02,0.0,283.0,24.5,1010.8
2,2021-02-23,37.94,22.1,48.92,0.0,325.0,27.4,1009.3
3,2021-02-24,29.12,16.16,39.02,0.0,322.0,20.2,1024.8
4,2021-02-25,27.32,10.22,46.94,0.0,196.0,17.3,1020.5
5,2021-02-26,35.6,19.22,46.04,0.0,309.0,9.4,1006.1
6,2021-02-27,27.32,14.18,35.96,3.0,348.0,17.3,1011.2
7,2021-02-28,23.54,10.22,33.08,0.0,355.0,11.2,1020.7
8,2021-03-01,29.48,16.16,53.96,0.0,204.0,11.2,1022.5
9,2021-03-02,42.44,26.24,59.0,0.0,349.0,15.5,1012.8
10,2021-03-03,44.06,29.12,62.96,0.0,314.0,13.7,1015.3
11,2021-03-04,42.98,25.16,62.96,0.0,31.0,7.9,1019.6
12,2021-03-05,45.32,30.2,64.04,0.0,355.0,11.5,1023.2
13,2021-03-06,44.78,26.24,69.98,0.0,191.0,15.8,1012.8
14,2021-03-07,52.34,32.0,60.98,0.0,349.0,16.2,1015.4
15,2021-03-08,42.62,28.22,62.06,0.0,125.0,11.5,1014.2
16,2021-03-09,47.3,35.96,53.96,0.0,357.0,28.1,1009.4
17,2021-03-10,34.52,19.22,35.96,1.5,342.0,21.2,1013.0
18,2021-03-11,30.56,17.24,46.04,0.0,171.0,10.8,1022.7
19,2021-03-12,33.62,21.2,50.0,0.0,135.0,12.6,1027.5
20,2021-03-13,35.42,22.1,53.06,2.5,27.0,6.1,1026.1
21,2021-03-14,36.32,28.22,39.92,14.0,36.5,23.4,1019.75
22,2021-03-15,28.76,26.24,33.08,3.0,46.0,7.9,1013.4
23,2021-03-16,27.86,21.2,33.98,0.0,296.0,10.4,1015.4
24,2021-03-17,33.08,24.26,42.08,0.0,359.0,18.4,1022.3
25,2021-03-18,31.46,23.18,39.02,0.0,140.0,19.8,1027.8
26,2021-03-19,37.4,27.14,57.02,0.0,155.0,14.0,1019.7
27,2021-03-20,46.22,32.0,68.0,0.0,102.0,16.6,1009.2
28,2021-03-21,45.14,29.12,53.06,0.0,329.0,29.9,1013.6
29,2021-03-22,40.1,23.18,55.94,0.0,206.0,15.5,1013.5
30,2021-03-23,41.54,32.0,51.08,0.0,336.0,36.4,1013.2
31,2021-03-24,38.66,26.24,51.08,0.0,227.0,21.2,1013.5
32,2021-03-25,38.3,22.1,57.02,0.0,32.0,9.7,1003.9
33,2021-03-26,41.54,32.0,48.02,1.5,348.0,23.8,1011.7
